regd,first_name,last_name,email,dept,student_phone,parent_phone,address,password,photo,category
22K61A4740,Nani Prasad,Arella,prem.sasi@sasi.ac.in,ECT,9440963616,9440963616,Hyderabad,22K61A4740,static/uploads/22K61A4701.jpg,Student
22K61A4741,Rohit,Sharma,rohit.sharma@sasi.ac.in,CSE,9440963616,9440963616,Mumbai,22K61A4741,static/uploads/22K61A4702.jpg,Student
22K61A4742,Akhil,Reddy,akhil.reddy@sasi.ac.in,ECE,9440963616,9440963616,Hyderabad,22K61A4742,static/uploads/22K61A4703.jpg,Student
22K61A4743,Meghana,Patil,meghana.patil@sasi.ac.in,IT,9440963616,9440963616,Pune,22K61A4743,static/uploads/22K61A4704.jpg,Student
22K61A4744,Sanjay,Kumar,sanjay.kumar@sasi.ac.in,ME,9440963616,9440963616,Delhi,22K61A4744,static/uploads/22K61A4705.jpg,Student
22K61A4745,Priya,Agarwal,priya.agarwal@sasi.ac.in,EEE,9440963616,9440963616,Chennai,22K61A4745,static/uploads/22K61A4706.jpg,Student
22K61A4746,Vikram,Singh,vikram.singh@sasi.ac.in,CSE,9440963616,9440963616,Bangalore,22K61A4746,static/uploads/22K61A4707.jpg,Student
22K61A4747,Swathi,Joshi,swathi.joshi@sasi.ac.in,IT,9440963616,9440963616,Jaipur,22K61A4747,static/uploads/22K61A4708.jpg,Student
22K61A4748,Ravi,Teja,ravi.teja@sasi.ac.in,ECE,9440963616,9440963616,Vizag,22K61A4748,static/uploads/22K61A4709.jpg,Student
22K61A4749,Kiran,Patel,kiran.patel@sasi.ac.in,ME,9440963616,9440963616,Ahmedabad,22K61A4749,static/uploads/22K61A4710.jpg,Student
